club_1,club_2,dif,pj,pg,pe,pp
All Boys,El Porvenir,0,8,3,2,3
All Boys,Sp. Barracas,-3,8,2,1,5
All Boys,Nueva Chicago,-4,8,1,2,5
All Boys,Argentino (Q),+4,7,4,3,0
All Boys,Dock Sud,-1,5,2,0,3
All Boys,Colegiales,+2,5,3,1,1
All Boys,Banfield,-2,4,1,0,3
All Boys,Temperley,-1,4,1,1,2
All Boys,Almagro,0,4,1,2,1
All Boys,Argentinos,-2,4,0,2,2
All Boys,Estudiantes (BA),-1,4,1,1,2
All Boys,Huracan,-3,4,0,1,3
All Boys,Def. de Belgrano,+1,4,2,1,1
All Boys,Barracas Central,-2,4,1,0,3
All Boys,Excursionistas,-2,4,1,0,3
All Boys,Estudiantes (LP),-1,1,0,0,1
All Boys,Chacarita,-1,1,0,0,1
All Boys,Boca Juniors,-1,1,0,0,1
Almagro,Banfield,+1,9,4,2,3
Almagro,Estudiantes (BA),+1,9,3,4,2
Almagro,Def. de Belgrano,-2,8,3,0,5
Almagro,Argentino (Q),+1,8,4,1,3
Almagro,Sp. Barracas,+2,8,5,0,3
Almagro,Barracas Central,+2,8,5,0,3
Almagro,El Porvenir,+1,8,4,1,3
Almagro,Excursionistas,+2,8,4,2,2
Almagro,Colegiales,0,7,2,3,2
Almagro,Nueva Chicago,0,5,2,1,2
Almagro,Huracan,-2,4,1,0,3
Almagro,Tigre,-3,4,0,1,3
Almagro,Talleres (RdE),+1,4,2,1,1
Almagro,Platense,+2,4,2,2,0
Almagro,All Boys,0,4,1,2,1
Almagro,Estudiantes (LP),-2,4,1,0,3
Almagro,Atlanta,-2,4,1,0,3
Almagro,River Plate,-1,4,0,3,1
Almagro,Gimnasia (LP),0,4,1,2,1
Almagro,Lanus,-1,4,1,1,2
Almagro,Racing Club,-1,4,1,1,2
Almagro,Argentinos,0,3,1,1,1
Almagro,Chacarita,0,3,1,1,1
Almagro,Ferro,0,3,1,1,1
Almagro,San Lorenzo,-1,3,1,0,2
Almagro,Quilmes,+1,3,2,0,1
Almagro,Velez,-2,3,0,1,2
Almagro,Independiente,-3,3,0,0,3
Almagro,Boca Juniors,-1,3,1,0,2
Almagro,Dock Sud,-2,2,0,0,2
Argentinos,Boca Juniors,+1,9,4,2,3
Argentinos,Huracan,-5,8,1,1,6
Argentinos,Argentino (Q),+4,8,5,2,1
Argentinos,Sp. Barracas,-2,7,0,5,2
Argentinos,El Porvenir,-2,6,1,2,3
Argentinos,Chacarita,-2,6,2,0,4
Argentinos,Dock Sud,+1,5,2,2,1
Argentinos,Estudiantes (LP),-1,5,1,2,2
Argentinos,Barracas Central,-2,4,1,0,3
Argentinos,Independiente,-3,4,0,1,3
Argentinos,Quilmes,-1,4,1,1,2
Argentinos,Nueva Chicago,-3,4,0,1,3
Argentinos,Ferro,-2,4,1,0,3
Argentinos,San Lorenzo,-2,4,1,0,3
Argentinos,Temperley,-2,4,1,0,3
Argentinos,Excursionistas,0,4,2,0,2
Argentinos,Velez,-2,4,1,0,3
Argentinos,Def. de Belgrano,-1,4,1,1,2
Argentinos,All Boys,+2,4,2,2,0
Argentinos,Atlanta,+2,3,2,1,0
Argentinos,Talleres (RdE),+1,3,1,2,0
Argentinos,Platense,-2,3,0,1,2
Argentinos,Estudiantes (BA),0,3,0,3,0
Argentinos,Gimnasia (LP),-1,3,0,2,1
