club_1,club_2,dif,pj,pg,pe,pp
Aldosivi,San Lorenzo,-3,10,3,1,6
Aldosivi,Union,-4,10,1,4,5
Aldosivi,Racing Club,-4,9,2,1,6
Aldosivi,Boca Juniors,-4,9,2,1,6
Aldosivi,Huracan,-4,9,2,1,6
Aldosivi,Rosario Central,-2,8,2,2,4
Aldosivi,Velez,-3,8,1,3,4
Aldosivi,Godoy Cruz,-4,8,2,0,6
Aldosivi,Argentinos,+2,8,4,2,2
Aldosivi,Banfield,-3,8,2,1,5
Aldosivi,Atl Tucuman,-3,8,1,3,4
Aldosivi,Gimnasia (LP),-4,8,1,2,5
Aldosivi,Estudiantes (LP),-3,7,2,0,5
Aldosivi,Lanus,+2,7,4,1,2
Aldosivi,Def y Justicia,-2,7,2,1,4
Aldosivi,Newells,-3,7,1,2,4
Aldosivi,Colon,+2,6,3,2,1
Aldosivi,Independiente,0,6,2,2,2
Aldosivi,River Plate,-5,6,0,1,5
Aldosivi,Olimpo,-3,5,1,0,4
Aldosivi,Tigre,-4,5,0,1,4
Aldosivi,Arsenal,+1,5,3,0,2
Aldosivi,Talleres (C),-2,5,1,1,3
Aldosivi,Patronato,-2,5,0,3,2
Aldosivi,San Lorenzo (MdP),+2,4,2,2,0
Aldosivi,San Martin (SJ),+1,4,2,1,1
Aldosivi,Ferro,-2,4,1,0,3
Aldosivi,Sarmiento (J),-1,4,1,1,2
Aldosivi,Platense,+2,4,2,2,0
Aldosivi,Atl Rafaela,+1,3,2,0,1
Aldosivi,Temperley,-1,3,0,2,1
Aldosivi,Central Cba (SdE),-2,3,0,1,2
Aldosivi,Belgrano,+2,3,2,1,0
Aldosivi,San Martin (T),0,3,1,1,1
Aldosivi,Sp. Patria (F),+2,2,2,0,0
Aldosivi,Juv. Alianza (SJ),+2,2,2,0,0
Aldosivi,San Martin (M),0,2,1,0,1
Aldosivi,Atl Regina (RN),+2,2,2,0,0
Aldosivi,All Boys,0,2,1,0,1
Aldosivi,Crucero (M),+2,2,2,0,0
Aldosivi,Dep Mandiyu (C),+1,2,1,1,0
Aldosivi,Cipolletti,+1,2,1,1,0
Aldosivi,Quilmes,-1,2,0,1,1
Aldosivi,Chacarita,-1,2,0,1,1
Aldosivi,Nueva Chicago,-1,1,0,0,1
All Boys,Argentinos,-16,38,4,14,20
All Boys,Estudiantes (LP),-10,30,7,6,17
All Boys,Huracan,-12,26,4,6,16
All Boys,Racing Club,-8,26,6,6,14
All Boys,Velez,-1,26,7,11,8
All Boys,Colon,-4,25,7,7,11
All Boys,Boca Juniors,-9,25,6,4,15
All Boys,Rosario Central,-5,24,6,7,11
All Boys,Independiente,-5,22,4,9,9
All Boys,Newells,-6,21,5,5,11
All Boys,Banfield,-3,21,6,6,9
All Boys,River Plate,-8,21,5,3,13
All Boys,San Lorenzo,-11,21,2,6,13
All Boys,Atlanta,0,17,5,7,5
All Boys,Ferro,-5,17,3,6,8
All Boys,Union,-2,16,4,6,6
All Boys,Gimnasia (LP),-3,14,5,1,8
All Boys,Chacarita,-2,13,3,5,5
All Boys,Quilmes,+4,12,7,2,3
All Boys,Lanus,-4,10,2,2,6
All Boys,Tigre,-1,10,2,5,3
All Boys,Belgrano,-2,10,2,4,4
All Boys,Temperley,0,9,3,3,3
All Boys,Platense,-1,8,1,5,2
All Boys,El Porvenir,0,8,3,2,3
All Boys,Arsenal,-1,8,2,3,3
All Boys,Godoy Cruz,-3,8,0,5,3
All Boys,Nueva Chicago,-4,8,1,2,5
All Boys,Sp. Barracas,-3,8,2,1,5
All Boys,Argentino (Q),+4,7,4,3,0
All Boys,Olimpo,+1,6,3,1,2
All Boys,Estudiantes (BA),-1,6,1,3,2
All Boys,Atl Rafaela,0,6,2,2,2
All Boys,Colegiales,+2,5,3,1,1
All Boys,Dock Sud,-1,5,2,0,3
All Boys,Barracas Central,-2,4,1,0,3
All Boys,Talleres (C),-2,4,0,2,2
All Boys,Atl Ledesma (J),0,4,1,2,1
All Boys,Def. de Belgrano,+1,4,2,1,1
All Boys,Almagro,0,4,1,2,1
All Boys,San Martin (SJ),0,4,1,2,1
All Boys,Excursionistas,-2,4,1,0,3
All Boys,Juv. Antoniana,+2,3,2,1,0
All Boys,Cipolletti,0,3,1,1,1
All Boys,San Martin (M),-1,3,1,0,2
All Boys,San Martin (T),0,3,1,1,1
All Boys,San Telmo,+1,3,2,0,1
All Boys,Aldosivi,0,2,1,0,1
All Boys,Desamparados,0,2,0,2,0
All Boys,Altos Hornos Zapla,+1,2,1,1,0
All Boys,Ind Rivadavia,0,2,1,0,1
All Boys,Atl Tucuman,+1,2,1,1,0
All Boys,Sp. Patria (F),-2,2,0,0,2
All Boys,Gimnasia (M),-1,2,0,1,1
All Boys,Puerto Comercial (IW),0,2,1,0,1
All Boys,Central Norte (S),-2,2,0,0,2
All Boys,San Lorenzo (MdP),-1,1,0,0,1
All Boys,Instituto,-1,1,0,0,1
Almagro,Gimnasia (LP),-3,12,2,5,5
Almagro,Banfield,-1,11,4,2,5
Almagro,Def. de Belgrano,0,10,5,0,5
Almagro,Lanus,0,10,3,4,3
Almagro,River Plate,-5,10,1,3,6
Almagro,Atlanta,-4,10,2,2,6
Almagro,Racing Club,-3,10,2,3,5
Almagro,Estudiantes (LP),-8,10,1,0,9
Almagro,Tigre,-3,10,1,5,4
Almagro,Estudiantes (BA),+1,9,3,4,2
Almagro,San Lorenzo,-4,9,2,1,6
Almagro,Chacarita,+2,9,4,3,2
Almagro,Argentinos,-1,9,2,4,3
Almagro,Velez,-2,9,2,3,4
Almagro,Independiente,-7,9,0,2,7
Almagro,Barracas Central,+2,8,5,0,3
Almagro,Huracan,-5,8,1,1,6
Almagro,Boca Juniors,-1,8,3,1,4
Almagro,El Porvenir,+1,8,4,1,3
Almagro,Excursionistas,+2,8,4,2,2
Almagro,Sp. Barracas,+2,8,5,0,3
Almagro,Platense,0,8,3,2,3
Almagro,Argentino (Q),+1,8,4,1,3
Almagro,Nueva Chicago,-2,7,2,1,4
Almagro,Ferro,+1,7,3,2,2
Almagro,Colegiales,0,7,2,3,2
Almagro,Quilmes,0,7,3,1,3
Almagro,Talleres (RdE),+1,6,3,1,2
Almagro,Newells,+1,6,3,1,2
Almagro,Union,-2,6,0,4,2
Almagro,Los Andes,0,4,0,4,0
Almagro,Colon,+1,4,2,1,1
Almagro,Instituto,+1,4,2,1,1
Almagro,All Boys,0,4,1,2,1
Almagro,Rosario Central,-1,4,1,1,2
Almagro,Arsenal,-1,2,0,1,1
Almagro,Olimpo,-1,2,0,1,1
Almagro,Talleres (C),-1,2,0,1,1
Almagro,Huracan (TA),0,2,0,2,0
Almagro,Dep. Moron,-2,2,0,0,2
Almagro,Belgrano,0,2,1,0,1
Almagro,Dep. Español,0,2,1,0,1
Almagro,Dock Sud,-2,2,0,0,2
Altos Hornos Zapla,Argentinos,-3,6,1,1,4
Altos Hornos Zapla,Boca Juniors,-1,5,2,0,3
Altos Hornos Zapla,Colon,-2,4,1,0,3
Altos Hornos Zapla,Talleres (C),0,4,1,2,1
Altos Hornos Zapla,Racing Club,-4,4,0,0,4
Altos Hornos Zapla,Newells,+1,4,1,3,0
Altos Hornos Zapla,Velez,-3,4,0,1,3
Altos Hornos Zapla,Gimnasia (LP),+2,4,3,0,1
Altos Hornos Zapla,Rosario Central,0,2,0,2,0
Altos Hornos Zapla,Racing (C),-1,2,0,1,1
Altos Hornos Zapla,Dep. Roca,-2,2,0,0,2
Altos Hornos Zapla,Central Norte (S),0,2,0,2,0
Altos Hornos Zapla,Independiente,-2,2,0,0,2
Altos Hornos Zapla,Atl Tucuman,-1,2,0,1,1
Altos Hornos Zapla,Ind Rivadavia,0,2,0,2,0
Altos Hornos Zapla,Jorge Newbery (J),0,2,0,2,0
Altos Hornos Zapla,River Plate,-1,2,0,1,1
Altos Hornos Zapla,Temperley,0,2,1,0,1
Altos Hornos Zapla,Estudiantes (RC),-2,2,0,0,2
Altos Hornos Zapla,Arg de Firmat,0,2,1,0,1
Altos Hornos Zapla,Instituto,-2,2,0,0,2
Altos Hornos Zapla,Ferro,-2,2,0,0,2
Altos Hornos Zapla,Platense,-1,2,0,1,1
Altos Hornos Zapla,Kimberley (MdP),0,2,1,0,1
Altos Hornos Zapla,All Boys,-1,2,0,1,1
Altos Hornos Zapla,Huracan (SR),+2,2,2,0,0
Altos Hornos Zapla,Atl Ledesma (J),+1,2,1,1,0
Alvarado,Colon,-2,2,0,0,2
Alvarado,River Plate,-2,2,0,0,2
Alvarado,San Lorenzo,+1,2,1,1,0
Alvarado,Atlanta,+1,2,1,1,0
Alvarado,San Martin (T),-2,2,0,0,2
Alvarado,Quilmes,0,2,0,2,0
Alvarado,San Martin (M),0,2,1,0,1
Andino (LR),River Plate,0,2,1,0,1
Andino (LR),Loma Negra,-2,2,0,0,2
Andino (LR),Nueva Chicago,-2,2,0,0,2
Arg de Firmat,Altos Hornos Zapla,0,2,1,0,1
